,0
0,0.0
1,0.15
2,0.225
3,0.275
4,0.325
5,0.526
6,0.5760000000000001
7,0.6759999999999999
8,0.701
9,0.7509999999999999
10,0.8009999999999999
11,0.826
12,0.851
13,0.9259999999999999
14,0.976
15,1.001
16,1.026
17,1.051
18,1.0759999999999998
19,1.101
20,1.151
21,1.251
22,1.276
23,1.301
24,1.401
25,1.426
26,1.5019999999999998
27,1.5519999999999998
28,1.652
29,1.702
30,1.827
31,1.8769999999999998
32,1.902
33,2.0269999999999997
34,2.077
35,2.102
36,2.252
37,2.4019999999999997
38,2.553
39,2.5780000000000003
40,2.7030000000000003
41,2.8280000000000003
42,2.9530000000000003
43,3.028
44,3.053
45,3.0780000000000003
46,3.2030000000000003
47,3.378
48,3.403
49,3.428
50,3.529
51,3.5789999999999997
52,3.6039999999999996
53,3.6289999999999996
54,3.679
55,3.7289999999999996
56,3.779
57,3.804
58,3.929
59,3.9789999999999996
60,4.178999999999999
61,4.303999999999999
62,4.329
63,4.428999999999999
64,4.53
65,4.555
66,4.605
67,4.73
68,4.78
69,4.88
70,4.93
71,4.955
72,4.98
73,5.03
74,5.08
75,5.18
76,5.205
77,5.255
78,5.305
79,5.455
80,5.506
81,5.556
82,5.631
83,5.731
84,5.781000000000001
85,5.806
86,5.831
87,5.931
88,5.956
89,5.981
90,6.006
91,6.081
92,6.106
93,6.131
94,6.156000000000001
95,6.181
96,6.356
97,6.406000000000001
98,6.456
99,6.481
100,6.607
101,6.682
102,6.732
103,6.782
104,6.857
105,6.957000000000001
106,7.057
107,7.082000000000001
108,7.107
109,7.157
110,7.207000000000001
111,7.257000000000001
112,7.307
113,7.382000000000001
114,7.407
115,7.432
116,7.507999999999999
117,7.558
118,7.608
119,7.733
120,7.832999999999999
121,7.882999999999999
122,7.9079999999999995
123,7.933
124,8.033
125,8.083
126,8.133
127,8.183
128,8.208
129,8.308
130,8.408
131,8.634
132,8.684
133,8.834
134,8.859
135,8.884
136,9.209
137,9.259
138,9.309
139,9.434
140,9.535
141,9.56
142,9.61
143,9.735
144,9.835
145,9.86
146,9.935
147,9.96
148,9.985
149,10.035
150,10.11
151,10.135
152,10.16
153,10.21
154,10.235
155,10.26
156,10.285
157,10.385
158,10.485
159,10.561
160,10.710999999999999
161,10.735999999999999
162,10.886
163,10.960999999999999
164,10.985999999999999
165,11.011
166,11.036
167,11.286
168,11.311
169,11.360999999999999
170,11.386
171,11.612
172,11.662
173,11.687000000000001
174,11.737
175,11.787
176,11.812000000000001
177,11.937000000000001
178,12.037
179,12.187000000000001
180,12.287
181,12.337
182,12.362
183,12.387
184,12.412
185,12.462
186,12.487
187,12.538
188,12.588
189,12.613
190,12.663
191,12.738
192,12.788
193,12.863
194,12.888
195,12.963
196,12.988
197,13.038
198,13.263
199,13.312999999999999
200,13.388
201,13.437999999999999
202,13.539000000000001
203,13.564
204,13.714
205,13.739
206,13.989
207,14.014000000000001
208,14.039000000000001
209,14.189
210,14.264000000000001
211,14.289000000000001
212,14.339
213,14.364
214,14.389000000000001
215,14.59
216,14.615
217,14.64
218,14.715
219,14.765
220,14.84
221,14.865
222,15.065
223,15.115
224,15.165
225,15.19
226,15.215
227,15.34
228,15.415
229,15.465
230,15.49
231,15.540999999999999
232,15.591
233,15.665999999999999
234,15.716
235,15.741
236,15.815999999999999
237,15.915999999999999
238,15.991
239,16.041
240,16.090999999999998
241,16.191
242,16.241
243,16.291
244,16.366
245,16.465999999999998
246,16.567
247,16.692
248,16.842
249,16.917
250,16.942
251,16.967
252,16.992
253,17.067
254,17.117
255,17.142
256,17.267
257,17.367
258,17.417
259,17.442
260,17.467
261,17.518
262,17.543
263,17.567999999999998
264,17.593
265,17.643
266,17.817999999999998
267,17.843
268,17.893
269,18.043
270,18.067999999999998
271,18.093
272,18.317999999999998
273,18.519000000000002
274,18.544
275,18.594
276,18.619
277,18.744
278,18.844
279,18.869
280,18.919
281,18.994
282,19.044
283,19.069000000000003
284,19.094
285,19.169
286,19.194000000000003
287,19.269000000000002
288,19.545
289,19.57
290,19.62
291,19.645
292,19.67
293,19.695
294,19.72
295,19.77
296,19.795
297,19.82
298,19.845
299,19.895
300,19.945
301,20.095
302,20.12
303,20.145
304,20.17
305,20.22
306,20.27
307,20.295
308,20.32
309,20.521
310,20.570999999999998
311,20.646
312,20.671
313,20.796
314,20.871
315,21.070999999999998
316,21.121
317,21.320999999999998
318,21.421
319,21.445999999999998
320,21.496
321,21.671999999999997
322,21.822
323,21.846999999999998
324,21.921999999999997
325,22.022
326,22.072
327,22.221999999999998
328,22.272
329,22.296999999999997
330,22.322
331,22.346999999999998
332,22.471999999999998
333,22.497
334,22.523000000000003
335,22.623
336,22.673000000000002
337,22.773000000000003
338,22.798000000000002
339,22.823
340,22.873
341,22.998
342,23.023000000000003
343,23.123
344,23.223000000000003
345,23.248
346,23.298000000000002
347,23.348000000000003
348,23.373
349,23.423000000000002
350,23.473000000000003
351,23.574
352,23.599
353,23.624000000000002
354,23.699
355,23.824
356,23.849
357,23.899
358,23.949
359,23.974
360,24.024
361,24.049
362,24.174
363,24.249000000000002
364,24.299
365,24.349
366,24.374000000000002
367,24.499000000000002
368,24.65
369,24.75
370,24.775
371,24.85
372,24.875
373,24.95
374,25.0
